Time, H, H_Bound
3.5339999999999725e-3, 7, 93
3.5399999999999724e-3, 7, 93
3.5459999999999724e-3, 7, 93
3.5519999999999723e-3, 7, 93
3.557999999999972e-3, 7, 93
3.563999999999972e-3, 7, 93
3.569999999999972e-3, 7, 93
3.575999999999972e-3, 7, 93
3.581999999999972e-3, 7, 93
3.587999999999972e-3, 7, 93
3.593999999999972e-3, 7, 93
3.5999999999999717e-3, 7, 93
3.6059999999999716e-3, 7, 93
3.6119999999999716e-3, 7, 93
3.6179999999999715e-3, 7, 93
3.6239999999999714e-3, 7, 93
3.6299999999999714e-3, 7, 93
3.6359999999999713e-3, 7, 93
3.641999999999971e-3, 7, 93
3.647999999999971e-3, 7, 93
3.653999999999971e-3, 7, 93
3.659999999999971e-3, 7, 93
3.665999999999971e-3, 7, 93
3.671999999999971e-3, 7, 93
3.677999999999971e-3, 7, 93
3.6839999999999707e-3, 7, 93
3.6899999999999706e-3, 7, 93
3.6959999999999706e-3, 7, 93
3.7019999999999705e-3, 7, 93
3.7079999999999704e-3, 7, 93
3.7139999999999704e-3, 7, 93
3.7199999999999703e-3, 7, 93
3.7259999999999702e-3, 7, 93
3.73199999999997e-3, 7, 93
3.73799999999997e-3, 7, 93
3.74399999999997e-3, 7, 93
3.74999999999997e-3, 7, 93
3.75599999999997e-3, 7, 93
3.76199999999997e-3, 7, 93
3.7679999999999697e-3, 7, 93
3.7739999999999697e-3, 7, 93
3.7799999999999696e-3, 7, 93
3.7859999999999695e-3, 7, 93
3.7919999999999694e-3, 7, 93
3.7979999999999694e-3, 7, 93
3.8039999999999693e-3, 7, 93
3.8099999999999692e-3, 7, 93
3.815999999999969e-3, 7, 93
3.821999999999969e-3, 7, 93
3.827999999999969e-3, 7, 93
3.833999999999969e-3, 7, 93
3.839999999999969e-3, 7, 93
3.845999999999969e-3, 7, 93
3.8519999999999687e-3, 7, 93
3.8579999999999687e-3, 7, 93
3.8639999999999686e-3, 7, 93
3.8699999999999685e-3, 7, 93
3.8759999999999684e-3, 7, 93
3.8819999999999684e-3, 7, 93
3.8879999999999683e-3, 7, 93
3.8939999999999682e-3, 7, 93
3.899999999999968e-3, 7, 93
3.905999999999968e-3, 7, 93
3.9119999999999685e-3, 7, 93
3.917999999999968e-3, 7, 93
3.923999999999968e-3, 7, 93
3.929999999999968e-3, 7, 93
3.935999999999968e-3, 7, 93
3.941999999999968e-3, 7, 93
3.947999999999968e-3, 7, 93
3.953999999999968e-3, 7, 93
3.959999999999968e-3, 7, 93
3.965999999999968e-3, 7, 93
3.971999999999968e-3, 7, 93
3.977999999999968e-3, 7, 93
3.983999999999968e-3, 7, 93
3.9899999999999675e-3, 7, 93
3.9959999999999675e-3, 7, 93
4.001999999999967e-3, 7, 93
4.007999999999967e-3, 7, 93
4.013999999999967e-3, 7, 93
4.019999999999967e-3, 7, 93
4.025999999999967e-3, 8, 92
4.031999999999967e-3, 8, 92
4.037999999999967e-3, 8, 92
4.043999999999967e-3, 8, 92
4.049999999999967e-3, 8, 92
4.055999999999967e-3, 8, 92
4.061999999999967e-3, 8, 92
4.067999999999967e-3, 8, 92
4.0739999999999665e-3, 8, 92
4.0799999999999665e-3, 8, 92
4.085999999999966e-3, 8, 92
4.091999999999966e-3, 8, 92
4.097999999999966e-3, 8, 92
4.103999999999966e-3, 8, 92
4.109999999999966e-3, 8, 92
4.115999999999966e-3, 8, 92
4.121999999999966e-3, 8, 92
4.127999999999966e-3, 8, 92
4.133999999999966e-3, 8, 92
4.139999999999966e-3, 8, 92
4.145999999999966e-3, 8, 92
4.151999999999966e-3, 8, 92
